id,title,company,department,skills_required,description,location,remote,stipend_min_inr,stipend_max_inr,duration_weeks,url,date_posted,role_level,sector
808,Sales Intern,Axis Bank,Retail / Sales,Merchandising;Negotiation,"Sales Intern at Axis Bank. Work on projects, mentored by senior staff. Required skills: Merchandising, Negotiation.","Ahmedabad, IN",False,0,0,10,https://careers.example.com/axisbank/808,2025-07-17,Internship,Startup
809,Aerospace Intern,Air India,Aviation / Aerospace,Flight Ops;Aircraft Systems;Technical Documentation;Maintenance Protocols;ERP,"Aerospace Intern at Air India. Work on projects, mentored by senior staff. Required skills: Flight Ops, Aircraft Systems, Technical Documentation, Maintenance Protocols, ERP.","Lucknow, IN",False,0,10000,6,https://careers.example.com/airindia/809,2025-11-29,Internship,Academic
810,Growth Intern,Anna University,Marketing / Business,Branding;Market Research;SEO,"Growth Intern at Anna University. Work on projects, mentored by senior staff. Required skills: Branding, Market Research, SEO.","Goa, IN",False,3000,8000,24,https://careers.example.com/annauniversity/810,2025-12-12,Entry,NGO
811,Aerospace Intern,Kotak Mahindra Bank,Aviation / Aerospace,Maintenance Protocols;Flight Ops;Aircraft Systems;Technical Documentation,"Aerospace Intern at Kotak Mahindra Bank. Work on projects, mentored by senior staff. Required skills: Maintenance Protocols, Flight Ops, Aircraft Systems, Technical Documentation.","Hyderabad, IN",False,0,5000,8,https://careers.example.com/kotakmahindrabank/811,2025-08-04,Entry,NGO
812,Computer Vision Intern,Bengaluru FC,Computer Science / AI,TensorFlow;Computer Vision;Flight Ops,"Computer Vision Intern at Bengaluru FC. Work on projects, mentored by senior staff. Required skills: TensorFlow, Computer Vision, Flight Ops.","Toronto, CA",False,25000,45000,8,https://careers.example.com/bengalurufc/812,2025-05-29,Internship,Private
813,Content Marketing Intern,Amazon India,Marketing / Business,Market Research;SEO;Google Analytics;Social Media;Excel,"Content Marketing Intern at Amazon India. Work on projects, mentored by senior staff. Required skills: Market Research, SEO, Google Analytics, Social Media, Excel.","London, UK",False,5000,15000,24,https://careers.example.com/amazonindia/813,2025-10-08,Entry,Academic
814,Accounting Intern,Scroll.in,Finance / Accounting,Tally;Financial Modeling,"Accounting Intern at Scroll.in. Work on projects, mentored by senior staff. Required skills: Tally, Financial Modeling.",Singapore,False,15000,35000,6,https://careers.example.com/scrollin/814,2025-08-15,Internship,Academic
815,Health Data Intern,Oxford University,Public Health / Epidemiology,Surveillance;Survey Design,"Health Data Intern at Oxford University. Work on projects, mentored by senior staff. Required skills: Surveillance, Survey Design.","Toronto, CA",False,10000,30000,20,https://careers.example.com/oxforduniversity/815,2025-03-31,Entry,Private
816,Research Intern,Tata CLiQ,Humanities / Journalism,Interviewing;Fact-checking;Research,"Research Intern at Tata CLiQ. Work on projects, mentored by senior staff. Required skills: Interviewing, Fact-checking, Research.","Berlin, DE",False,20000,35000,8,https://careers.example.com/tatacliq/816,2025-10-29,Internship,NGO
817,Baking Intern,Cambridge University,Culinary / Food,Plating;Kitchen Safety;Recipe Development,"Baking Intern at Cambridge University. Work on projects, mentored by senior staff. Required skills: Plating, Kitchen Safety, Recipe Development.","Jaipur, IN",False,15000,15000,12,https://careers.example.com/cambridgeuniversity/817,2025-12-27,Entry,Private
818,Community Outreach Intern,Tata Consultancy Services,NGO / Social Work,Monitoring & Evaluation;Grant Writing;Fundraising;Case Management,"Community Outreach Intern at Tata Consultancy Services. Work on projects, mentored by senior staff. Required skills: Monitoring & Evaluation, Grant Writing, Fundraising, Case Management.",Remote,True,8000,23000,12,https://careers.example.com/tataconsultancyservices/818,2026-02-01,Junior,Private
819,Sales Intern,Scindia School,Retail / Sales,POS;Merchandising;Sales Outreach;Negotiation;Excel,"Sales Intern at Scindia School. Work on projects, mentored by senior staff. Required skills: POS, Merchandising, Sales Outreach, Negotiation, Excel.","Lucknow, IN",False,0,20000,24,https://careers.example.com/scindiaschool/819,2025-04-19,Internship,Startup
820,Merchandising Intern,Harvard University,Retail / Sales,Sales Outreach;Merchandising;Negotiation,"Merchandising Intern at Harvard University. Work on projects, mentored by senior staff. Required skills: Sales Outreach, Merchandising, Negotiation.","Mumbai, IN",False,25000,27000,4,https://careers.example.com/harvarduniversity/820,2026-01-15,Internship,Startup
821,Flight Ops Intern,NITI Aayog,Aviation / Aerospace,Aircraft Systems;Technical Documentation;Maintenance Protocols;Recipe Development,"Flight Ops Intern at NITI Aayog. Work on projects, mentored by senior staff. Required skills: Aircraft Systems, Technical Documentation, Maintenance Protocols, Recipe Development.","Thane, IN",False,30000,35000,6,https://careers.example.com/nitiaayog/821,2025-08-09,Junior,Public
822,Tutorial Assistant,Sports Authority of India,Education / Teaching,Subject Knowledge;Assessment Design;Communication;Animal Handling,"Tutorial Assistant at Sports Authority of India. Work on projects, mentored by senior staff. Required skills: Subject Knowledge, Assessment Design, Communication, Animal Handling.","Lucknow, IN",False,15000,15000,20,https://careers.example.com/sportsauthorityofindia/822,2026-01-26,Entry,Private
823,Case Assistant Intern,Godrej,Law / Legal,Contract Review;Drafting;Python,"Case Assistant Intern at Godrej. Work on projects, mentored by senior staff. Required skills: Contract Review, Drafting, Python.","Toronto, CA",False,5000,5000,8,https://careers.example.com/godrej/823,2025-09-22,Junior,NGO
824,Logistics Coordinator Intern,Amazon Prime Video,Logistics / Supply Chain,TMS;Inventory Control,"Logistics Coordinator Intern at Amazon Prime Video. Work on projects, mentored by senior staff. Required skills: TMS, Inventory Control.","Dehradun, IN",False,5000,10000,10,https://careers.example.com/amazonprimevideo/824,2026-01-24,Junior,Academic
825,Architectural Intern,Save the Children,Architecture / Civil,Site Visits;SketchUp;Grant Writing,"Architectural Intern at Save the Children. Work on projects, mentored by senior staff. Required skills: Site Visits, SketchUp, Grant Writing.","Pune, IN",False,30000,40000,12,https://careers.example.com/savethechildren/825,2025-05-24,Internship,Academic
826,Frontend Intern,Aero India,Web Development,Bootstrap;JavaScript;CSS;React,"Frontend Intern at Aero India. Work on projects, mentored by senior staff. Required skills: Bootstrap, JavaScript, CSS, React.","Ahmedabad, IN",False,30000,45000,16,https://careers.example.com/aeroindia/826,2026-03-07,Junior,Public
827,Investment Research Intern,DRDO,Finance / Accounting,Valuation;Excel;Accounting;Tally,"Investment Research Intern at DRDO. Work on projects, mentored by senior staff. Required skills: Valuation, Excel, Accounting, Tally.","New York, USA",False,3000,13000,4,https://careers.example.com/drdo/827,2025-12-18,Entry,Public
828,Visual Design Intern,Lupin,Design / UX,Adobe XD;User Research,"Visual Design Intern at Lupin. Work on projects, mentored by senior staff. Required skills: Adobe XD, User Research.","Lucknow, IN",False,20000,40000,4,https://careers.example.com/lupin/828,2025-12-10,Internship,Academic
829,Clinical Research Intern,VIT,Biotech / Medical,GCP;Data Analysis;Clinical Research;Cell Culture;Research Protocols;PCR;Lab Techniques,"Clinical Research Intern at VIT. Work on projects, mentored by senior staff. Required skills: GCP, Data Analysis, Clinical Research, Cell Culture, Research Protocols, PCR, Lab Techniques.","Kolkata, IN",False,5000,5000,16,https://careers.example.com/vit/829,2025-12-26,Entry,Academic
830,Academic Assistant,IndiGo,Education / Teaching,TAP (Teaching Assistant);Lesson Planning;Communication;Classroom Management,"Academic Assistant at IndiGo. Work on projects, mentored by senior staff. Required skills: TAP (Teaching Assistant), Lesson Planning, Communication, Classroom Management.","New York, USA",False,3000,3000,24,https://careers.example.com/indigo/830,2026-03-07,Internship,NGO
831,Hotel Operations Intern,Godrej,Hospitality / Tourism,Food & Beverage;Event Coordination;Housekeeping;Guest Service,"Hotel Operations Intern at Godrej. Work on projects, mentored by senior staff. Required skills: Food & Beverage, Event Coordination, Housekeeping, Guest Service.","Ahmedabad, IN",True,8000,23000,8,https://careers.example.com/godrej/831,2025-09-19,Entry,Public
832,Public Health Intern,Maersk,Public Health / Epidemiology,Health Promotion;Surveillance;Field Surveys;Survey Design;Data Analysis,"Public Health Intern at Maersk. Work on projects, mentored by senior staff. Required skills: Health Promotion, Surveillance, Field Surveys, Survey Design, Data Analysis.",Remote,True,8000,23000,24,https://careers.example.com/maersk/832,2025-04-05,Internship,Private
833,Marketing Intern,Jawaharlal Nehru University,Marketing / Business,Market Research;Content Writing;Event Coordination,"Marketing Intern at Jawaharlal Nehru University. Work on projects, mentored by senior staff. Required skills: Market Research, Content Writing, Event Coordination.","Ahmedabad, IN",False,8000,28000,12,https://careers.example.com/jawaharlalnehruuniversity/833,2025-03-26,Junior,Public
834,React Intern,National Centre for Biological Sciences (NCBS),Web Development,CSS;JavaScript;React;REST APIs;Node.js;Bootstrap;MongoDB,"React Intern at National Centre for Biological Sciences (NCBS). Work on projects, mentored by senior staff. Required skills: CSS, JavaScript, React, REST APIs, Node.js, Bootstrap, MongoDB.","Pune, IN",False,8000,23000,4,https://careers.example.com/nationalcentreforbiologicalsciencesncbs/834,2025-03-29,Internship,Academic
835,Chef Intern,Dabur,Culinary / Food,Recipe Development;Kitchen Safety;Baking,"Chef Intern at Dabur. Work on projects, mentored by senior staff. Required skills: Recipe Development, Kitchen Safety, Baking.","Kolkata, IN",False,25000,35000,24,https://careers.example.com/dabur/835,2025-09-29,Entry,Startup
836,Growth Intern,Maersk,Marketing / Business,Content Writing;Google Analytics;Branding,"Growth Intern at Maersk. Work on projects, mentored by senior staff. Required skills: Content Writing, Google Analytics, Branding.","Goa, IN",False,8000,18000,6,https://careers.example.com/maersk/836,2026-01-07,Internship,NGO
837,Production Intern,Goldman Sachs,Manufacturing / Mechanical,MATLAB;CAD;Quality Control;PLC,"Production Intern at Goldman Sachs. Work on projects, mentored by senior staff. Required skills: MATLAB, CAD, Quality Control, PLC.","Berlin, DE",False,30000,35000,16,https://careers.example.com/goldmansachs/837,2025-10-06,Junior,NGO
838,Coaching Intern,BBC,Sports / Coaching,Athlete Monitoring;Fitness Training;Plan Design;Coaching,"Coaching Intern at BBC. Work on projects, mentored by senior staff. Required skills: Athlete Monitoring, Fitness Training, Plan Design, Coaching.","Kolkata, IN",False,25000,30000,10,https://careers.example.com/bbc/838,2025-09-19,Internship,Private
839,UI/UX Design Intern,CSIR,Design / UX,Sketch;Figma;Adobe XD;User Research;PyTorch,"UI/UX Design Intern at CSIR. Work on projects, mentored by senior staff. Required skills: Sketch, Figma, Adobe XD, User Research, PyTorch.","Toronto, CA",False,15000,35000,24,https://careers.example.com/csir/839,2026-02-18,Internship,NGO
840,Sports Operations Intern,IIT Delhi,Sports / Coaching,Athlete Monitoring;Fitness Training;Coaching;Plan Design,"Sports Operations Intern at IIT Delhi. Work on projects, mentored by senior staff. Required skills: Athlete Monitoring, Fitness Training, Coaching, Plan Design.",Remote,True,5000,10000,6,https://careers.example.com/iitdelhi/840,2025-07-29,Junior,Private
841,Urban Planning Intern,Mphasis,Architecture / Civil,Site Visits;SketchUp;Revit;AutoCAD,"Urban Planning Intern at Mphasis. Work on projects, mentored by senior staff. Required skills: Site Visits, SketchUp, Revit, AutoCAD.","Lucknow, IN",False,15000,17000,8,https://careers.example.com/mphasis/841,2025-12-22,Entry,Academic
842,Case Worker Intern,Taj Hotels,NGO / Social Work,Monitoring & Evaluation;Grant Writing;Fundraising;Community Outreach,"Case Worker Intern at Taj Hotels. Work on projects, mentored by senior staff. Required skills: Monitoring & Evaluation, Grant Writing, Fundraising, Community Outreach.","Jaipur, IN",False,20000,30000,8,https://careers.example.com/tajhotels/842,2025-11-30,Internship,NGO
843,AI Intern,LinkedIn,Computer Science / AI,Java;NLP;Data Analysis;Machine Learning,"AI Intern at LinkedIn. Work on projects, mentored by senior staff. Required skills: Java, NLP, Data Analysis, Machine Learning.","London, UK",False,20000,40000,12,https://careers.example.com/linkedin/843,2025-07-28,Internship,Public
844,Content Writer Intern,Hyatt,Humanities / Journalism,Fact-checking;Copywriting;Research;Editing,"Content Writer Intern at Hyatt. Work on projects, mentored by senior staff. Required skills: Fact-checking, Copywriting, Research, Editing.","Delhi NCR, IN",False,3000,13000,20,https://careers.example.com/hyatt/844,2026-01-06,Internship,NGO
845,Investment Research Intern,Nestle India,Finance / Accounting,QuickBooks;Excel;Accounting;Tally,"Investment Research Intern at Nestle India. Work on projects, mentored by senior staff. Required skills: QuickBooks, Excel, Accounting, Tally.","Pune, IN",False,25000,35000,20,https://careers.example.com/nestleindia/845,2025-11-15,Internship,Public
846,Research Intern,Axis Bank,Humanities / Journalism,Fact-checking;Reporting,"Research Intern at Axis Bank. Work on projects, mentored by senior staff. Required skills: Fact-checking, Reporting.",Remote,True,0,5000,12,https://careers.example.com/axisbank/846,2025-05-12,Junior,Startup
847,Event Intern,Indian Railways,Hospitality / Tourism,Guest Service;Food & Beverage;Event Coordination;REST APIs,"Event Intern at Indian Railways. Work on projects, mentored by senior staff. Required skills: Guest Service, Food & Beverage, Event Coordination, REST APIs.","Chennai, IN",False,8000,23000,12,https://careers.example.com/indianrailways/847,2025-12-21,Junior,NGO
848,Photography Intern,Urban Company,Arts / Media,Photography;Video Editing;Research,"Photography Intern at Urban Company. Work on projects, mentored by senior staff. Required skills: Photography, Video Editing, Research.","Ahmedabad, IN",False,20000,22000,20,https://careers.example.com/urbancompany/848,2025-09-21,Entry,Private
849,Warehouse Intern,Boston Consulting Group,Logistics / Supply Chain,Inventory Control;Warehouse Management,"Warehouse Intern at Boston Consulting Group. Work on projects, mentored by senior staff. Required skills: Inventory Control, Warehouse Management.","London, UK",False,25000,35000,4,https://careers.example.com/bostonconsultinggroup/849,2025-05-29,Junior,Academic
850,Hotel Operations Intern,Boeing India,Hospitality / Tourism,Food & Beverage;Guest Service,"Hotel Operations Intern at Boeing India. Work on projects, mentored by senior staff. Required skills: Food & Beverage, Guest Service.",Remote,True,30000,30000,20,https://careers.example.com/boeingindia/850,2025-07-12,Internship,Startup
851,Product Design Intern,IIT Delhi,Design / UX,Figma;Illustrator;Prototyping;User Research,"Product Design Intern at IIT Delhi. Work on projects, mentored by senior staff. Required skills: Figma, Illustrator, Prototyping, User Research.","Berlin, DE",False,8000,23000,20,https://careers.example.com/iitdelhi/851,2025-06-03,Entry,Startup
852,Quality Intern,Stripe,Manufacturing / Mechanical,Quality Control;PLC;CAD;Assembly,"Quality Intern at Stripe. Work on projects, mentored by senior staff. Required skills: Quality Control, PLC, CAD, Assembly.",Singapore,False,25000,40000,24,https://careers.example.com/stripe/852,2025-06-21,Junior,Public
853,Animal Care Intern,Tech Mahindra,Veterinary / Animal Care,Grooming;Animal Handling;Clinical Support;Vaccination,"Animal Care Intern at Tech Mahindra. Work on projects, mentored by senior staff. Required skills: Grooming, Animal Handling, Clinical Support, Vaccination.","Pune, IN",False,30000,32000,6,https://careers.example.com/techmahindra/853,2026-01-26,Entry,Public
854,UI/UX Design Intern,Cambridge University,Design / UX,Illustrator;Wireframing;Visual Design;Adobe XD;User Research;Figma,"UI/UX Design Intern at Cambridge University. Work on projects, mentored by senior staff. Required skills: Illustrator, Wireframing, Visual Design, Adobe XD, User Research, Figma.","London, UK",False,5000,7000,6,https://careers.example.com/cambridgeuniversity/854,2025-07-27,Junior,NGO
855,Accounting Intern,National Library of India,Finance / Accounting,Financial Modeling;Valuation;QuickBooks;Tally;SAP;Excel;Accounting,"Accounting Intern at National Library of India. Work on projects, mentored by senior staff. Required skills: Financial Modeling, Valuation, QuickBooks, Tally, SAP, Excel, Accounting.","London, UK",False,15000,20000,6,https://careers.example.com/nationallibraryofindia/855,2026-02-02,Junior,Startup
856,Clinical Research Intern,Unacademy,Biotech / Medical,Data Analysis;PCR,"Clinical Research Intern at Unacademy. Work on projects, mentored by senior staff. Required skills: Data Analysis, PCR.","Hyderabad, IN",False,30000,35000,20,https://careers.example.com/unacademy/856,2026-01-16,Entry,Startup
857,Growth Intern,Zee Entertainment,Marketing / Business,Google Analytics;Market Research,"Growth Intern at Zee Entertainment. Work on projects, mentored by senior staff. Required skills: Google Analytics, Market Research.","Hyderabad, IN",False,20000,30000,24,https://careers.example.com/zeeentertainment/857,2026-03-02,Entry,Public
858,Research Data Intern,Cyril Amarchand Mangaldas,Data Science / Analytics,R;Python;Excel;SQL;Power BI,"Research Data Intern at Cyril Amarchand Mangaldas. Work on projects, mentored by senior staff. Required skills: R, Python, Excel, SQL, Power BI.","Jaipur, IN",True,25000,27000,4,https://careers.example.com/cyrilamarchandmangaldas/858,2025-11-24,Internship,Public
859,AI Intern,Myntra,Computer Science / AI,NLP;Data Analysis;Computer Vision;Deep Learning;PyTorch,"AI Intern at Myntra. Work on projects, mentored by senior staff. Required skills: NLP, Data Analysis, Computer Vision, Deep Learning, PyTorch.","Lucknow, IN",False,20000,20000,16,https://careers.example.com/myntra/859,2025-09-26,Internship,Public
860,React Intern,Bain & Company,Web Development,React;HTML;CSS;Bootstrap;Node.js;C++,"React Intern at Bain & Company. Work on projects, mentored by senior staff. Required skills: React, HTML, CSS, Bootstrap, Node.js, C++.","Lucknow, IN",False,20000,22000,6,https://careers.example.com/bainandcompany/860,2025-07-13,Internship,Private
861,Investment Research Intern,Razorpay,Finance / Accounting,Financial Modeling;Accounting;Valuation;QuickBooks;SAP,"Investment Research Intern at Razorpay. Work on projects, mentored by senior staff. Required skills: Financial Modeling, Accounting, Valuation, QuickBooks, SAP.","Toronto, CA",False,10000,15000,10,https://careers.example.com/razorpay/861,2025-05-13,Junior,Academic
862,Maintenance Intern,State Bank of India,Aviation / Aerospace,Aircraft Systems;Maintenance Protocols,"Maintenance Intern at State Bank of India. Work on projects, mentored by senior staff. Required skills: Aircraft Systems, Maintenance Protocols.","Delhi NCR, IN",False,8000,8000,16,https://careers.example.com/statebankofindia/862,2025-10-11,Junior,Startup
863,Production Intern,The Doon School,Manufacturing / Mechanical,MATLAB;Assembly;Quality Control;CAD;PLC,"Production Intern at The Doon School. Work on projects, mentored by senior staff. Required skills: MATLAB, Assembly, Quality Control, CAD, PLC.","Lucknow, IN",True,30000,32000,10,https://careers.example.com/thedoonschool/863,2025-05-03,Entry,Public
864,Clinical Research Intern,Kokilaben Dhirubhai Ambani Hospital,Biotech / Medical,Clinical Research;Data Analysis;PCR;Cell Culture,"Clinical Research Intern at Kokilaben Dhirubhai Ambani Hospital. Work on projects, mentored by senior staff. Required skills: Clinical Research, Data Analysis, PCR, Cell Culture.","Mumbai, IN",False,30000,35000,16,https://careers.example.com/kokilabendhirubhaiambanihospital/864,2025-04-19,Entry,Startup
865,Clinical Research Intern,UpGrad,Biotech / Medical,PCR;Lab Techniques;GCP;Data Analysis;Clinical Research;Cell Culture;Research Protocols,"Clinical Research Intern at UpGrad. Work on projects, mentored by senior staff. Required skills: PCR, Lab Techniques, GCP, Data Analysis, Clinical Research, Cell Culture, Research Protocols.","Kolkata, IN",False,8000,8000,24,https://careers.example.com/upgrad/865,2025-09-03,Entry,Private
866,Video Production Intern,Zomato,Arts / Media,Photoshop;Storyboarding,"Video Production Intern at Zomato. Work on projects, mentored by senior staff. Required skills: Photoshop, Storyboarding.","Kolkata, IN",False,5000,5000,24,https://careers.example.com/zomato/866,2025-04-07,Entry,Academic
867,Pharma Research Intern,Teach For India,Biotech / Medical,Lab Techniques;GCP,"Pharma Research Intern at Teach For India. Work on projects, mentored by senior staff. Required skills: Lab Techniques, GCP.","Jaipur, IN",False,0,15000,6,https://careers.example.com/teachforindia/867,2025-03-30,Internship,Startup
868,Sports Operations Intern,HCL Technologies,Sports / Coaching,Plan Design;Fitness Training,"Sports Operations Intern at HCL Technologies. Work on projects, mentored by senior staff. Required skills: Plan Design, Fitness Training.","Jaipur, IN",False,30000,35000,6,https://careers.example.com/hcltechnologies/868,2025-04-23,Junior,Private
869,Backend Intern,Hindustan Times,Web Development,MongoDB;React;HTML;Express,"Backend Intern at Hindustan Times. Work on projects, mentored by senior staff. Required skills: MongoDB, React, HTML, Express.","Berlin, DE",False,25000,35000,12,https://careers.example.com/hindustantimes/869,2025-06-17,Junior,Academic
870,Data Research Intern,Hyatt,Research / Policy,Stata;SPSS;Quantitative Analysis;Qualitative Methods;Policy Briefs,"Data Research Intern at Hyatt. Work on projects, mentored by senior staff. Required skills: Stata, SPSS, Quantitative Analysis, Qualitative Methods, Policy Briefs.",Remote,True,30000,45000,10,https://careers.example.com/hyatt/870,2025-11-28,Entry,Public
871,Chef Intern,Salesforce,Culinary / Food,Food Prep;Plating;Recipe Development;Kitchen Safety;Baking,"Chef Intern at Salesforce. Work on projects, mentored by senior staff. Required skills: Food Prep, Plating, Recipe Development, Kitchen Safety, Baking.","Goa, IN",False,3000,23000,6,https://careers.example.com/salesforce/871,2026-02-22,Internship,Public
872,Field Intern,Cambridge University,Public Health / Epidemiology,Surveillance;Survey Design;Data Analysis,"Field Intern at Cambridge University. Work on projects, mentored by senior staff. Required skills: Surveillance, Survey Design, Data Analysis.","Sydney, AU",False,10000,20000,6,https://careers.example.com/cambridgeuniversity/872,2025-11-05,Junior,Academic
873,Food & Beverage Intern,Manipal Hospitals,Hospitality / Tourism,Event Coordination;Food & Beverage,"Food & Beverage Intern at Manipal Hospitals. Work on projects, mentored by senior staff. Required skills: Event Coordination, Food & Beverage.","Goa, IN",False,15000,35000,6,https://careers.example.com/manipalhospitals/873,2025-04-06,Entry,Public
874,Field Intern,BigBasket,Public Health / Epidemiology,Surveillance;Survey Design,"Field Intern at BigBasket. Work on projects, mentored by senior staff. Required skills: Surveillance, Survey Design.","Lucknow, IN",False,10000,25000,16,https://careers.example.com/bigbasket/874,2025-07-21,Entry,Public
875,Maintenance Intern,Lupin,Aviation / Aerospace,Aircraft Systems;Maintenance Protocols;Technical Documentation;Flight Ops;GCP,"Maintenance Intern at Lupin. Work on projects, mentored by senior staff. Required skills: Aircraft Systems, Maintenance Protocols, Technical Documentation, Flight Ops, GCP.","London, UK",False,20000,25000,24,https://careers.example.com/lupin/875,2025-06-06,Entry,NGO
876,Growth Intern,Bain & Company,Marketing / Business,Market Research;Communication;Excel;Content Writing;SEO,"Growth Intern at Bain & Company. Work on projects, mentored by senior staff. Required skills: Market Research, Communication, Excel, Content Writing, SEO.","London, UK",False,5000,25000,12,https://careers.example.com/bainandcompany/876,2025-08-04,Junior,Public
877,Investment Research Intern,Citibank,Finance / Accounting,Tally;Accounting,"Investment Research Intern at Citibank. Work on projects, mentored by senior staff. Required skills: Tally, Accounting.",Remote,True,20000,30000,8,https://careers.example.com/citibank/877,2026-01-02,Entry,Public
878,Event Intern,UNICEF,Hospitality / Tourism,Housekeeping;Event Coordination;Guest Service;Inventory Control,"Event Intern at UNICEF. Work on projects, mentored by senior staff. Required skills: Housekeeping, Event Coordination, Guest Service, Inventory Control.","Dehradun, IN",False,20000,35000,4,https://careers.example.com/unicef/878,2026-01-14,Junior,Public
879,Investment Research Intern,"National Museum, India",Finance / Accounting,Excel;SAP;Financial Modeling;QuickBooks;Accounting,"Investment Research Intern at National Museum, India. Work on projects, mentored by senior staff. Required skills: Excel, SAP, Financial Modeling, QuickBooks, Accounting.",Singapore,False,30000,50000,4,https://careers.example.com/nationalmuseumindia/879,2025-05-29,Internship,Private
880,Sales Intern,Khaitan & Co,Retail / Sales,Customer Service;Negotiation;Sales Outreach;Merchandising,"Sales Intern at Khaitan & Co. Work on projects, mentored by senior staff. Required skills: Customer Service, Negotiation, Sales Outreach, Merchandising.","London, UK",True,8000,10000,8,https://careers.example.com/khaitanandco/880,2025-06-09,Internship,Public
881,Content Marketing Intern,JSW Sports,Marketing / Business,Social Media;Google Analytics;SEO;Content Writing;Qualitative Methods,"Content Marketing Intern at JSW Sports. Work on projects, mentored by senior staff. Required skills: Social Media, Google Analytics, SEO, Content Writing, Qualitative Methods.","Sydney, AU",False,10000,30000,4,https://careers.example.com/jswsports/881,2025-09-07,Entry,Public
882,Software Engineering Intern,LinkedIn,Computer Science / AI,Deep Learning;Computer Vision;TensorFlow;PyTorch;C++;NLP;Kitchen Safety,"Software Engineering Intern at LinkedIn. Work on projects, mentored by senior staff. Required skills: Deep Learning, Computer Vision, TensorFlow, PyTorch, C++, NLP, Kitchen Safety.","New York, USA",False,10000,15000,20,https://careers.example.com/linkedin/882,2025-10-30,Internship,Academic
883,Web Developer Intern,Flipkart,Web Development,Express;CSS;REST APIs;Reporting,"Web Developer Intern at Flipkart. Work on projects, mentored by senior staff. Required skills: Express, CSS, REST APIs, Reporting.","Kolkata, IN",False,10000,12000,24,https://careers.example.com/flipkart/883,2026-01-08,Entry,NGO
884,Merchandise Intern,Kokilaben Dhirubhai Ambani Hospital,Fashion / Textile,Sewing;Fashion Sketching,"Merchandise Intern at Kokilaben Dhirubhai Ambani Hospital. Work on projects, mentored by senior staff. Required skills: Sewing, Fashion Sketching.","London, UK",False,30000,32000,16,https://careers.example.com/kokilabendhirubhaiambanihospital/884,2025-07-13,Internship,Academic
885,Web Developer Intern,National Library of India,Web Development,Bootstrap;React,"Web Developer Intern at National Library of India. Work on projects, mentored by senior staff. Required skills: Bootstrap, React.","Thane, IN",False,8000,10000,24,https://careers.example.com/nationallibraryofindia/885,2025-09-07,Junior,Startup
886,Fashion Intern,Stripe,Fashion / Textile,Pattern Making;Textile Knowledge;Illustrator;Sewing,"Fashion Intern at Stripe. Work on projects, mentored by senior staff. Required skills: Pattern Making, Textile Knowledge, Illustrator, Sewing.","Bengaluru, IN",True,15000,25000,8,https://careers.example.com/stripe/886,2025-05-02,Internship,Public
887,Event Intern,National Centre for Biological Sciences (NCBS),Hospitality / Tourism,Food & Beverage;Event Coordination;Housekeeping;Guest Service,"Event Intern at National Centre for Biological Sciences (NCBS). Work on projects, mentored by senior staff. Required skills: Food & Beverage, Event Coordination, Housekeeping, Guest Service.","Kolkata, IN",True,3000,13000,6,https://careers.example.com/nationalcentreforbiologicalsciencesncbs/887,2025-07-14,Entry,NGO
888,Research Assistant,Hyatt,Research / Policy,Quantitative Analysis;Literature Review;Qualitative Methods;SPSS;Event Coordination,"Research Assistant at Hyatt. Work on projects, mentored by senior staff. Required skills: Quantitative Analysis, Literature Review, Qualitative Methods, SPSS, Event Coordination.","Delhi NCR, IN",True,5000,25000,10,https://careers.example.com/hyatt/888,2026-03-15,Internship,Startup
889,Urban Planning Intern,Cyril Amarchand Mangaldas,Architecture / Civil,AutoCAD;Site Visits;SketchUp;Construction Drawings;Revit,"Urban Planning Intern at Cyril Amarchand Mangaldas. Work on projects, mentored by senior staff. Required skills: AutoCAD, Site Visits, SketchUp, Construction Drawings, Revit.","Hyderabad, IN",False,0,2000,6,https://careers.example.com/cyrilamarchandmangaldas/889,2025-06-18,Junior,Private
890,Quality Intern,Meta Platforms,Manufacturing / Mechanical,PLC;Assembly,"Quality Intern at Meta Platforms. Work on projects, mentored by senior staff. Required skills: PLC, Assembly.","Ahmedabad, IN",False,0,10000,12,https://careers.example.com/metaplatforms/890,2025-11-21,Junior,NGO
891,Site Intern,HSBC,Architecture / Civil,Revit;Site Visits;AutoCAD,"Site Intern at HSBC. Work on projects, mentored by senior staff. Required skills: Revit, Site Visits, AutoCAD.","Kolkata, IN",False,0,20000,8,https://careers.example.com/hsbc/891,2026-01-28,Entry,Academic
892,Data Research Intern,Zomato,Research / Policy,Quantitative Analysis;Literature Review;Qualitative Methods,"Data Research Intern at Zomato. Work on projects, mentored by senior staff. Required skills: Quantitative Analysis, Literature Review, Qualitative Methods.","London, UK",False,10000,10000,24,https://careers.example.com/zomato/892,2025-10-15,Junior,Private
893,Visual Design Intern,Lakme (Hindustan Unilever),Design / UX,Illustrator;Visual Design,"Visual Design Intern at Lakme (Hindustan Unilever). Work on projects, mentored by senior staff. Required skills: Illustrator, Visual Design.",Remote,True,20000,25000,8,https://careers.example.com/lakmehindustanunilever/893,2026-03-09,Entry,Private
